agency,arrest_pct,arrest_total,arrest_total_car_thefts
Colorado Division of Gaming Crim Enf Inv Section Golden,0,0,0
Colorado Mental Health Institute,0,0,0
Colorado Parks and Wildlife Law Enforcement,0,0,0
Colorado School of Mines Police Department,0,0,18
Colorado Springs Police Department,14.76106911,"2,187","14,816"
Colorado State Patrol,89.8989899,89,99
Custer County Sheriff's Office,69.76744186,30,43
Dacono Police Department,10.95890411,8,73
De Beque Marshal's Office,0,0,0
Del Norte Police Department,60,3,5
Delta County Sheriff's Office,17.94871795,21,117
Delta Police Department,16.86046512,29,172
Denver Police Department,8.259548038,"3,750","45,402"
Department of Criminal Justice,0,0,0
Dillon Police Department,15,3,20
Dinosaur Police Department,0,0,0
Division of Wildlife Denver,0,0,0
Dolores County Sheriff's Office,35,7,20
Douglas County Sheriff's Office,22.72986865,398,"1,751"
Durango Police Department,35.48387097,77,217
Eagle County Sheriff's Office,16.66666667,12,72
Eagle Police Department,5.555555556,2,36
Eaton Police Department,30,12,40
Edgewater Police Department,1.986754967,6,302
El Paso County Sheriff's Office,21.69287697,469,"2,162"
Elbert County Sheriff's Office,87.5,14,16
Elizabeth Police Department,11.11111111,1,9
Empire Police Department,14.28571429,1,7
Englewood Police Department,5.48541576,126,"2,297"
Erie Police Department,23.52941176,36,153
Estes Park Police Department,20,3,15
Evans Police Deparment,22.35528942,112,501
Fairplay Police Department,0,0,4
Federal Heights Police Department,8.746355685,30,343
Firestone Police Department,7.567567568,14,185
Florence Police Department,54.34782609,25,46
Fort Collins Police Department,19.5622435,286,"1,462"
Fort Lewis State College Police Department,0,0,1
Fort Lupton Police Department,11.51832461,22,191
Fort Morgan Police Department,19.7740113,35,177
Fountain Police Department,17.85028791,93,521
Fowler Police Department,55.55555556,5,9
Fraser_Winter Park Police Department,30.43478261,7,23
Frederick Police Department,6.52173913,3,46
Fremont County Sheriff's Office,15.34653465,31,202
Frisco Police Department,21.21212121,14,66
Fruita Police Department,16.66666667,8,48
Garden City Police Department,23.07692308,3,13
Garfield County Sheriff's Office,19.46308725,29,149
Georgetown Police Department,12.5,2,16
Gilcrest Police Department,0,0,0
Gilpin County Sheriff's Office,23.63636364,13,55
Glendale Police Department,10.71428571,81,756
Glenwood Springs Police Department,31.42857143,44,140
Golden Police Department,5.741626794,24,418
Granada Police Department,0,0,3
Granby Police Department,45.45454545,5,11
Grand County Sheriff's Office,8.333333333,1,12
Grand Junction Police Department,25.62651576,317,"1,237"
Greeley Police Department,16.95342006,404,"2,383"
Green Mountain Falls Marshal's Office,0,0,1
Greenwood Village Police Department,9.76744186,42,430
Gunnison County Sheriff's Office,42.10526316,8,19
Gunnison Police Department,37.5,21,56
Gypsum Police Department,3.846153846,1,26
Haxtun Police Department,0,0,2
Hayden Police Department,30,3,10
Hinsdale County Sheriff's Office,0,0,2
Holyoke Police Department,75,3,4
Hotchkiss Police Department,12.5,1,8
Hudson Police Department,13.7254902,7,51
Huerfano County Sheriff's Office,20.53571429,23,112
Hugo Marshal's Office,44.44444444,4,9
Idaho Springs Police Department,11.76470588,6,51
Ignacio Police Department,20,1,5
Jackson County Sheriff's Office,20,1,5
Jefferson County Sheriff's Office,5.030094583,117,"2,326"
Johnstown Police Department,16.34615385,34,208
Keenesburg Police Department,0,0,7
Kersey Police Department,0,0,14
Kiowa County Sheriff's Office,20,1,5
Kiowa Police Department,0,0,0
Kit Carson County Sheriff's Office,38.70967742,12,31
Kremmling Police Department,10,1,10
La Junta Police Department,22.22222222,30,135
La Plata County Sheriff's Office,16.52173913,19,115
La Salle Police Department,4.444444444,2,45
La Veta Marshal's Office,0,0,0
Lafayette Police Department,14.32160804,57,398
Lake County Sheriff's Office,15,3,20
Lakeside Police Department,55.55555556,5,9
Lakewood Police Department,5.451608561,405,"7,429"
Lamar Police Department,30,3,10
Larimer County Sheriff's Office,26.72540382,182,681
Las Animas County Sheriff's Office,23.52941176,8,34
Las Animas Police Department - Retired,0,0,0
Leadville Police Department,20,3,15
Limon Police Department,100,10,10
Lincoln County Sheriff's Office,51.85185185,14,27
Littleton Police Department,3.410740203,47,"1,378"
Lochbuie Police Department,0,0,16
Log Lane Village Marshal's Office,33.33333333,2,6
Logan County Sheriff's Office,29.80769231,31,104
Lone Tree Police Department,11.72161172,32,273
Longmont Department of Public Safety,12.14953271,234,"1,926"
Louisville Police Department,26.95652174,62,230
Loveland Police Department,8.505154639,66,776
Mancos Marshal's Office,0,0,8
Manitou Springs Police Department,10.25641026,8,78
Manzanola Police Department,0,0,0
Mead Police Department,12.90322581,4,31
Meeker Police Department,13.33333333,2,15
Mesa County Sheriff's Office,21.4695752,187,871
Milliken Police Department,21.42857143,6,28
Mineral County Sheriff's Office,0,0,0
Minturn Police Department,0,0,0
Moffat County Sheriff's Office,35,7,20
Monte Vista Police Department,56.75675676,21,37
Montezuma County Sheriff's Office,28.69565217,33,115
Montrose County Sheriff's Office,31.38686131,43,137
Montrose Police Department,18.15286624,57,314
Monument Police Department,8,4,50
Morgan County Sheriff's Office,25,27,108
Morrison Police Department,0,0,0
Mountain View Police Department,8.333333333,1,12
Mountain Village Police Department,57.14285714,4,7
Mt Crested Butte Police Department,50,1,2
Nederland Police Department,62.5,5,8
New Castle Police Department,20.83333333,5,24
Northern Colorado Drug Task Force,0,0,0
Northglenn Police Department,7.131367292,133,"1,865"
Nunn Police Department,0,0,0
Oak Creek Police Department,50,2,4
Olathe Police Department,57.14285714,4,7
Otero County Sheriff's Office,34.34343434,34,99
Ouray County Sheriff's Office,25,3,12
Ouray Police Department,0,0,4
Pagosa Springs Police Department,41.66666667,5,12
Palisade Police Department,7.692307692,1,13
Palmer Lake Police Department,0,0,0
Paonia Police Department,0,0,0
Parachute Police Department,42.85714286,15,35
Park County Sheriff's Office,27.90697674,12,43
Parker Police Department,4.355716878,24,551
Phillips County Sheriff's Office,42.85714286,3,7
Pikes Peak State College Police Department,0,0,1
Pitkin County Sheriff's Office,20,3,15
Platteville Police Department,1.666666667,1,60
Prowers County Sheriff's Office,72.22222222,13,18
Pueblo County Sheriff's Office,9.050772627,82,906
Pueblo Police Department,8.351648352,532,"6,370"
Rangely Police Department,100,2,2
Red Rocks Community College Campus Police Department,0,0,6
Ridgway Marshal's Office,0,0,0
Rifle Police Department,24.18300654,37,153
Rio Blanco County Sheriff's Office,100,5,5
Rio Grande County Sheriff's Office,20,4,20
Rocky Ford Police Department,27.27272727,3,11
Routt County Sheriff's Office,37.5,9,24
Saguache County Sheriff's Office,25,1,4
Salida Police Department,30.3030303,20,66
San Juan County Sheriff's Office,50,4,8
San Miguel County Sheriff's Office,62.5,5,8
Sanford Police Department,0,0,0
Sedgwick County Sheriff's Office,14.28571429,1,7
Severance Police Department,7.692307692,1,13
Sheridan Police Department,8.904109589,52,584
Silt Police Department,25,5,20
Silverthorne Police Department,6.578947368,5,76
Simla Police Department,0,0,4
Snowmass Village Police Department,0,0,2
South Fork Police Department,0,0,8
South Metro Drug Task Force - Retired,0,0,0
Southern Ute Tribal Police Department,25,2,8
Southwest Drug Task Force,0,0,0
Springfield Police Department,50,2,4
Steamboat Springs Police Department,22.22222222,14,63
Sterling Police Department,35.59322034,63,177
Stratton Marshal's Office,0,0,0
Summit County Drug Task Force - Retired 110211,0,0,0
Summit County Sheriff's Office,27.27272727,24,88
Teller County Sheriff's Office,29.09090909,16,55
Telluride Marshal's Office,0,0,3
Thornton Police Department,5.007980846,251,"5,012"
Timnath Police Department,42.85714286,9,21
Trinidad Police Department`,16.66666667,21,126
Two Rivers Drug Enforcement Team,0,0,0
University of Colorado - Boulder Police Department,16.92307692,11,65
University of Colorado - Colorado Springs Police Department,10.52631579,2,19
University of Colorado - Denver Police Department,0,0,0
University of Colorado Anschutz Medical Campus - Denver Police Department,4.225352113,9,213
University of Northern Colorado Police Department,16,4,25
US Postal Inspection Service,0,0,0
Vail Police Department,45.58823529,31,68
Victor Police Department - Retired,0,0,0
Walsenburg Police Department,0,0,0
Walsh Police Department,0,0,0
Washington County Sheriff's Office,10,6,60
Weld County Drug Task Force,0,0,0
Weld County Sheriff's Office,16.23296159,131,807
Westminster Police Department,5.548363233,300,"5,407"
Wheat Ridge Police Department,7.073030477,123,"1,739"
Wiggins Police Department,22.22222222,2,9
Windsor Police Department,7.352941176,5,68
Woodland Park Police Department,33.33333333,12,36
Wray Police Department,100,1,1
Yuma County Sheriff's Office,9.375,3,32
Yuma Police Department,0,0,23
